original_text,reframed_text,strategy,original_with_label
I'm so confused I don't know if I should try or just let it go,"Im about to make an important decision about if I should continue how I am or try something else, I known I will make the right decision.","['growth', 'neutralizing', 'optimism']","I'm so confused I don't know if I should try or just let it go Strategy: ['growth', 'neutralizing', 'optimism']"
I hate it when I see something I might need sometime soon putt it somewhere I will remember it and then forgot,I should do meditation to improve my memory power.,['optimism'],I hate it when I see something I might need sometime soon putt it somewhere I will remember it and then forgot Strategy: ['optimism']
Back to reality tomorrow. FYI~I don't recommend going to your father's memorial service and moving in the span of a few days.,"Thankful I was able to go to my father's memorial service, and get moved in before getting back to life.",['thankfulness'],Back to reality tomorrow. FYI~I don't recommend going to your father's memorial service and moving in the span of a few days. Strategy: ['thankfulness']
"its hard to staying together with someone whos not giving corporate with. whos do not love to clean up, dispersed and love being like a boss!","I hope I get a better partner in my life going forward, someone who is more compatible with me.","['growth', 'optimism']","its hard to staying together with someone whos not giving corporate with. whos do not love to clean up, dispersed and love being like a boss! Strategy: ['growth', 'optimism']"
"So I have stats til 2:20, practice from 2:30 to 6:30, then coach til 7:30. Homework is due by 5. wtf am I supposed to do?!",I have so much to do and no time to do my homework. Time to get more organized with my studies and not procrastinate!,['growth'],"So I have stats til 2:20, practice from 2:30 to 6:30, then coach til 7:30. Homework is due by 5. wtf am I supposed to do?! Strategy: ['growth']"
I need a bestfriend. Its hard being alone. It effects me 24\7. imissyou lonely .,I wish I was an ascetic as the greatest philosophers were. I must try to be content with my own presence.,['growth'],I need a bestfriend. Its hard being alone. It effects me 24\7. imissyou lonely . Strategy: ['growth']
Lord please help me get through this mock trial tomorrow without looking like a total idiot,"Lord, thank you for giving me the resources to get through the mock trial tomorrow.",['thankfulness'],Lord please help me get through this mock trial tomorrow without looking like a total idiot Strategy: ['thankfulness']
Completely and utterly lacking in any kind of motivation today. Cannot see the point at all.,I have motivation to do everything today.,['self_affirmation'],Completely and utterly lacking in any kind of motivation today. Cannot see the point at all. Strategy: ['self_affirmation']
I need to make at least a 68 on my Accounting final to have a B in the class. That might not happen,"Time to start working on my studying techniques and skills, so I can get a good grade on my accounting final.",['growth'],I need to make at least a 68 on my Accounting final to have a B in the class. That might not happen Strategy: ['growth']
Really feel like a run! Don't know if my knees can handle it.. feeling frustrated,"I trust my body will be able to pull through, I just need to keep moving forward!","['growth', 'optimism']","Really feel like a run! Don't know if my knees can handle it.. feeling frustrated Strategy: ['growth', 'optimism']"
"I should of really taken regular English, I don't care if it makes me look like an idiot, I kinda want to graduate I dunno.",I think taking regular english would have been a good idea to complete my education and graduate.,['optimism'],"I should of really taken regular English, I don't care if it makes me look like an idiot, I kinda want to graduate I dunno. Strategy: ['optimism']"
Please call 01389298225 for all enquiries / emergencies due to a phone line issue and leave a voicemail,Phone isn't working. Call my new number for inquiries/emergencies,['neutralizing'],Please call 01389298225 for all enquiries / emergencies due to a phone line issue and leave a voicemail Strategy: ['neutralizing']
"If you and 13 of your friends walk into a restaurant 45 minutes before it closes, you're the worst type of people.",I suppose I should appreciate people that come in 45 minutes before closing; money is money after all.,"['growth', 'optimism']","If you and 13 of your friends walk into a restaurant 45 minutes before it closes, you're the worst type of people. Strategy: ['growth', 'optimism']"
I don't know what's wrong today. I'm stressed and could just really use a hug sad,I don't know what's wrong today. I'm stressed and could just really use a hug. Hopefully after a good night's sleep and tomorrow will be a better day!,['impermanence'],I don't know what's wrong today. I'm stressed and could just really use a hug sad Strategy: ['impermanence']
"An exam, one class, 4 hours at work and I'm done, all eyes set on home oneday tired","I have all eyes set on home to rest, after going through quite a bit - an exam, one class and 4 hours at work.","['neutralizing', 'optimism']","An exam, one class, 4 hours at work and I'm done, all eyes set on home oneday tired Strategy: ['neutralizing', 'optimism']"
"I have no one to blame but myself for how I feel right now, but I just want this day to be over stressed",Can't wait for this day to be over,['impermanence'],"I have no one to blame but myself for how I feel right now, but I just want this day to be over stressed Strategy: ['impermanence']"
Last year I hid a box off thin mints to save for later but now I have no idea where they are,I hope I could somehow find the box of thin mints that I hid last year.,['optimism'],Last year I hid a box off thin mints to save for later but now I have no idea where they are Strategy: ['optimism']
I hate how situations take a turn for the worse There is no 'it gets better' BS. It is what it is and I have no other choice. stressed,Sometimes situations take a turn for the worse but theres always good that comes with the bad,['optimism'],I hate how situations take a turn for the worse There is no 'it gets better' BS. It is what it is and I have no other choice. stressed Strategy: ['optimism']
"I've got so much to do and I always leave it till the last minute"" exactly what I thought when I woke up!!","Although it is difficult to stop, I know that not leaving things for the last minute will make me better.","['growth', 'optimism']","I've got so much to do and I always leave it till the last minute"" exactly what I thought when I woke up!! Strategy: ['growth', 'optimism']"
"i just wanna go away for a while, Go move in with my uncle in north carolina, forget about everything and everyone sad",I'm glad my uncle in North Carolina has a place for me to stay when I need it.,['thankfulness'],"i just wanna go away for a while, Go move in with my uncle in north carolina, forget about everything and everyone sad Strategy: ['thankfulness']"
2 fire drills today had to stand out in the freezing cold for no reason DITareDickeads,"We got to stand outside and kinda just hang out, sure it was cold, but were bundled up and getting paid to hang out and get to know one another.","['optimism', 'thankfulness']","2 fire drills today had to stand out in the freezing cold for no reason DITareDickeads Strategy: ['optimism', 'thankfulness']"
Going to catch up with Towie this afternoon! I fell asleep last night :( overtired,Going to see my friend and catch up! I'm so excited!,['neutralizing'],Going to catch up with Towie this afternoon! I fell asleep last night :( overtired Strategy: ['neutralizing']
I actually have a test in every single class that I need to make up whendoesitend,"I have a test in every single class to make up, and I hope I do that successfully.",['optimism'],I actually have a test in every single class that I need to make up whendoesitend Strategy: ['optimism']
Can not sleep!! Starting to be a regular thing n I hate it!! So much on ma mind :(..,"Luckily I have so much keeping me going these days, sleep is the last thing I think about.","['optimism', 'thankfulness']","Can not sleep!! Starting to be a regular thing n I hate it!! So much on ma mind :(.. Strategy: ['optimism', 'thankfulness']"
I hate the last week before the break because all of the teacher try to cram in the culminating tasks and it gets crazy!,It's crazy busy this week but at least next week we'll be on break!,['impermanence'],I hate the last week before the break because all of the teacher try to cram in the culminating tasks and it gets crazy! Strategy: ['impermanence']
In a stupidly bad mood. Only halfway through the work day and I've come close to quitting and plotting murder.,Only halfway through the work day and I've come close to quitting which is bad.,"['self_affirmation', 'thankfulness']","In a stupidly bad mood. Only halfway through the work day and I've come close to quitting and plotting murder. Strategy: ['self_affirmation', 'thankfulness']"
"Wish I could just drop everything, get on a plane and move to the other side of the world","Wish I could just drop everything, but I know I must be strong and not give up.","['growth', 'self_affirmation']","Wish I could just drop everything, get on a plane and move to the other side of the world Strategy: ['growth', 'self_affirmation']"
Feeling pretty lame cos I'm already in bed and will probably be asleep soon loser,In bed early so I can get start the day tomorrow bright-eyed and bushy tailed.,['optimism'],Feeling pretty lame cos I'm already in bed and will probably be asleep soon loser Strategy: ['optimism']
It's sad how my mom feels bad for me that I'm so busy doing work that I don't even have to time to nap and and relax,I would love for the weekend to arrive quickly so that I can nap and relax making my mother happy at the same time.,"['impermanence', 'optimism']","It's sad how my mom feels bad for me that I'm so busy doing work that I don't even have to time to nap and and relax Strategy: ['impermanence', 'optimism']"
The thought of working 10hour days for the next 6 days is making me wanna be sick,I can't wait to be done with this week and start with the weekend.,['impermanence'],The thought of working 10hour days for the next 6 days is making me wanna be sick Strategy: ['impermanence']
Essay writing is slowly killing my soul. Why do I always leave things to the last minute,Time to realize I shouldn't procratinate my writing assignments.,['growth'],Essay writing is slowly killing my soul. Why do I always leave things to the last minute Strategy: ['growth']
Not evem gona lie or joke. If yal believe in God olease pray for me. I seriously need it right now.,"Thank you to everyone who keeps me in your thoughts and prayers, it really helps me through these difficult times.",['thankfulness'],Not evem gona lie or joke. If yal believe in God olease pray for me. I seriously need it right now. Strategy: ['thankfulness']
I need to go to my dads and go for a long four wheeler ride.,A long four-wheeler ride at my dad's place sounds like a fantastic idea. I think I'll go.,['optimism'],I need to go to my dads and go for a long four wheeler ride. Strategy: ['optimism']
This week has been something else smh can't wait for Saturday to wind down and turn up. Is it 430 yet? I WANNA CLOCK OUT NOW!!!!,"It has been a hard week but I'm looking foward to saturday night, to have a blast and have fun!","['neutralizing', 'optimism']","This week has been something else smh can't wait for Saturday to wind down and turn up. Is it 430 yet? I WANNA CLOCK OUT NOW!!!! Strategy: ['neutralizing', 'optimism']"
"That's me!"" : I always want this and that. My mind is never really made up","I believe it's a good quality for me, always wanting things more.",['self_affirmation'],"That's me!"" : I always want this and that. My mind is never really made up Strategy: ['self_affirmation']"
I wish I could remember what it's like to go to bed before 1 or 2 am.,Life is going so fast that there's a long time I don't sleep early.,"['growth', 'neutralizing']","I wish I could remember what it's like to go to bed before 1 or 2 am. Strategy: ['growth', 'neutralizing']"
It sucks when your mentally and physically exhausted and can't sleep. It also sucks when your hungry but can't eat stre,"It's hard when you're mentally, and physically tired, and can't sleep. Also, when you're hungry but can't eat. But I'm sure these things will pass, and I'll be okay.","['neutralizing', 'optimism']","It sucks when your mentally and physically exhausted and can't sleep. It also sucks when your hungry but can't eat stre Strategy: ['neutralizing', 'optimism']"
"Done gave myself a headache with all this crying && I'm wasting toilet paper,, getting myself together",All I ‘ve got is a headache because of all the crying. But I wish to pull myself together and seek happiness in the company of my friends.,"['impermanence', 'neutralizing', 'optimism']","Done gave myself a headache with all this crying && I'm wasting toilet paper,, getting myself together Strategy: ['impermanence', 'neutralizing', 'optimism']"
I'm freaking out. I desperately want VIP tickets for the Melbourne Interactive Introverts. They mean a lot to me and I'm stressing. Augh! Haha!,I will feel so lucky if I get VIP tickets for the Melbourne Integrative Introverts.,['optimism'],I'm freaking out. I desperately want VIP tickets for the Melbourne Interactive Introverts. They mean a lot to me and I'm stressing. Augh! Haha! Strategy: ['optimism']
Can't explain how much I hate uni! Why did I ever decide to go. I am to retarded to be there! essaywriting,"I am regretting going to university, this is a chance to reevaluate my life goals.",['growth'],Can't explain how much I hate uni! Why did I ever decide to go. I am to retarded to be there! essaywriting Strategy: ['growth']
I don't wanna be awake! These nightmares need to go away and let me rest at night. annoyed,"Having a hard time resting because of my nightmares, but I'm sure it will get better in a few days","['impermanence', 'neutralizing']","I don't wanna be awake! These nightmares need to go away and let me rest at night. annoyed Strategy: ['impermanence', 'neutralizing']"
"i wish i could just not do the work i missed, this is to much.",At least when I have done the work it will be over with then I can relax.,"['optimism', 'thankfulness']","i wish i could just not do the work i missed, this is to much. Strategy: ['optimism', 'thankfulness']"
I swear these dreams I've been having lastly are going to give me grey hair,"I understand that dreams are just that, dreams... And they don't define my mood.","['growth', 'neutralizing']","I swear these dreams I've been having lastly are going to give me grey hair Strategy: ['growth', 'neutralizing']"
Argh!!! Recruitment system is down so have to print over a 100 applications!! Not how I wanted to spend my Friday! :(,Recruitment system is down so have to print over a 100 applications! I hope to finish it soon and enjoy my Friday.,"['neutralizing', 'optimism']","Argh!!! Recruitment system is down so have to print over a 100 applications!! Not how I wanted to spend my Friday! :( Strategy: ['neutralizing', 'optimism']"
I hate writing a paper on a book you don't understand or remember. It's due in two days and I don't even have a paragraph written.,I need to work on focusing and not procrastinating when it comes to writing papers.,['growth'],I hate writing a paper on a book you don't understand or remember. It's due in two days and I don't even have a paragraph written. Strategy: ['growth']
"Freaking out about the history exam tomorrow, I don't know half of what I should","I am nervous about the history exam tomorrow, so I am going to stay up late tonight to study.",['growth'],"Freaking out about the history exam tomorrow, I don't know half of what I should Strategy: ['growth']"
COOKIE DOUGH/NUTELLA EMERGENCY IN VILLAGE 411 and by that I mean someone please bring me cookie dough and/or Nutella to my room,I don't feel well but at least I know that some cookie dough or nutella will make me feel better.,['optimism'],COOKIE DOUGH/NUTELLA EMERGENCY IN VILLAGE 411 and by that I mean someone please bring me cookie dough and/or Nutella to my room Strategy: ['optimism']
So many things to do that are due tomorrow :c Then I'm probably going to fail the geometry and bio test. beenprocrastinating ugh,I seriously need better time management to complete tasks on hand and prepare well for tests.,['growth'],So many things to do that are due tomorrow :c Then I'm probably going to fail the geometry and bio test. beenprocrastinating ugh Strategy: ['growth']
feel like i've read so much notes but still know nothing! the end of feb can't come quick enough,Studying hard but still ready for the end of Feb,['neutralizing'],feel like i've read so much notes but still know nothing! the end of feb can't come quick enough Strategy: ['neutralizing']
I have a economics quiz tomorrow and I haven't even looked at it nor do I know what it's even about.,I have an economics quiz tomorow but if I start studying now I might pass.,"['neutralizing', 'optimism', 'thankfulness']","I have a economics quiz tomorrow and I haven't even looked at it nor do I know what it's even about. Strategy: ['neutralizing', 'optimism', 'thankfulness']"
"I need a calming ""woosa"" moment like the captain in Bad Boys 2 right now","I'm thankful that I realize I need a break, and I honor my alone time.","['neutralizing', 'optimism', 'thankfulness']","I need a calming ""woosa"" moment like the captain in Bad Boys 2 right now Strategy: ['neutralizing', 'optimism', 'thankfulness']"
"You recently asked whatareyoulettingintoyourlife To CAUSE you to become disturbed angry upset Well,the answer is emotions God forbid that we could analyze away Those Pesky Things",I need to begin going to therapy to help manage my negative emotions.,"['growth', 'neutralizing']","You recently asked whatareyoulettingintoyourlife To CAUSE you to become disturbed angry upset Well,the answer is emotions God forbid that we could analyze away Those Pesky Things Strategy: ['growth', 'neutralizing']"
I absolutely hate this inequalities in society class!!I dont understand how Im doing better in my math class than this damn class,I absolutely hate these inequalities in society class. I will change these things.,['growth'],I absolutely hate this inequalities in society class!!I dont understand how Im doing better in my math class than this damn class Strategy: ['growth']
All da sudden i feel really sick mi somach hurts i wanna throw up ughh :( im so fustraded,I have to go to doctor to make my stomach free from pain.,['growth'],All da sudden i feel really sick mi somach hurts i wanna throw up ughh :( im so fustraded Strategy: ['growth']
I would feel like crap when I have a bunch of homework and I have banquet in 3 days sick,I would feel like crap when I have a bunch of homework I have to done it.,"['self_affirmation', 'thankfulness']","I would feel like crap when I have a bunch of homework and I have banquet in 3 days sick Strategy: ['self_affirmation', 'thankfulness']"
"Really don't want Christmas to be here, since the fact my dads gonna go apeshit when I don't come over",this Christmas not going over to my family's. #adulting,['self_affirmation'],"Really don't want Christmas to be here, since the fact my dads gonna go apeshit when I don't come over Strategy: ['self_affirmation']"
The last day of break :( aka the day I hate myself for not being more productive. Future Aileen is going to suffer for it.,I'm going to use my time more productively from now on.,['growth'],The last day of break :( aka the day I hate myself for not being more productive. Future Aileen is going to suffer for it. Strategy: ['growth']
I'm to the point I just want to drop all my classes and move home. lazy,"Time to reorganize my thoughts, be motivated and keep studying",['growth'],I'm to the point I just want to drop all my classes and move home. lazy Strategy: ['growth']
"Holy crazy day at work. Being 'in charge' is a scary, yet exciting endeavor. tired stressed",Even with the difficulties and stress I am grateful for the trust they had in me to put me in charge.,"['optimism', 'thankfulness']","Holy crazy day at work. Being 'in charge' is a scary, yet exciting endeavor. tired stressed Strategy: ['optimism', 'thankfulness']"
I have 2 projects due Tuesday. And everyday this week and next week I'm working or I have something going on,I have 2 projects due on Tuesday. Every day this week and next week I'm working. But I am glad to keep myself busy to keep negative thoughts off my mind.,"['growth', 'optimism']","I have 2 projects due Tuesday. And everyday this week and next week I'm working or I have something going on Strategy: ['growth', 'optimism']"
Woke up at 5:40 this morning Seriously why does my body put me to sleep at 1:30 then wake me up at ungodly hours fuckfinals,"I can't sleep at night during finals, but they will be over soon.",['impermanence'],Woke up at 5:40 this morning Seriously why does my body put me to sleep at 1:30 then wake me up at ungodly hours fuckfinals Strategy: ['impermanence']
and then we found out there was no bathroom on our 8 hour bus panicmode crying,"We found out there was no bathroom on our 8 -hour bus, but there is always a gas station in all places.",['optimism'],and then we found out there was no bathroom on our 8 hour bus panicmode crying Strategy: ['optimism']
OH MY WORD. Give me the bloody chainsaw and I'll flippin' do it. Quit with the constant stopping and starting! aarghhh,"I can use the chainsaw for you, and then it’ll get done faster","['neutralizing', 'optimism']","OH MY WORD. Give me the bloody chainsaw and I'll flippin' do it. Quit with the constant stopping and starting! aarghhh Strategy: ['neutralizing', 'optimism']"
I just want someone to come over with a BIG bag of peanut butter m&ms!!!,Someone will be there to comfort me when I need it the most.,['optimism'],I just want someone to come over with a BIG bag of peanut butter m&ms!!! Strategy: ['optimism']
I hate having no money and having everyone in my family to buy gifts for still.,"I still need to buy some gifts, even though I'm low on cash. At least I have people to buy gifts for.","['neutralizing', 'optimism']","I hate having no money and having everyone in my family to buy gifts for still. Strategy: ['neutralizing', 'optimism']"
I'm not sure how long I can go on without hanging out with any of my friends. The only means through which I could really de-stress was in the company of strangers and with them. The covid cases keep skyrocketing too. COVID19,Hopefully soon I will be able to see my friends and this covid thing will be over.,['optimism'],I'm not sure how long I can go on without hanging out with any of my friends. The only means through which I could really de-stress was in the company of strangers and with them. The covid cases keep skyrocketing too. COVID19 Strategy: ['optimism']
Starting tomorrow i have to read 5 summer requirement books and finish my flvs. Hopefully in 22 dayss! Crap no time,I have a lot of work to do in 22 days but I know that I can smash it because I'm so hard working.,"['optimism', 'self_affirmation']","Starting tomorrow i have to read 5 summer requirement books and finish my flvs. Hopefully in 22 dayss! Crap no time Strategy: ['optimism', 'self_affirmation']"
"It's finally Friday, there's finals next week, but one thing is missing.. My captain morgs","I'm going to make sure I study hard for my finals next week, so I can ace those tests!",['optimism'],"It's finally Friday, there's finals next week, but one thing is missing.. My captain morgs Strategy: ['optimism']"
Looks like me and every other E.R cheerleader will be practicing the dance during school cheerprobz,I'll be practicing the dance with the other cheerleaders during school cheerprobz,"['neutralizing', 'optimism']","Looks like me and every other E.R cheerleader will be practicing the dance during school cheerprobz Strategy: ['neutralizing', 'optimism']"
"I hate how teachers give so much work at the end of the year and use ""it's not summer yet"" as an excuse","I am looking very much forward to summer. I am learning a lot right now, but it is also a lot of work.",['impermanence'],"I hate how teachers give so much work at the end of the year and use ""it's not summer yet"" as an excuse Strategy: ['impermanence']"
"Sometimes you have to stop and let her go, its not worth the fight if she isn't down to be there for you. Like you are for her.",It is better to look for a new start if she is not interested in you. It is not worth the fight.,"['growth', 'optimism']","Sometimes you have to stop and let her go, its not worth the fight if she isn't down to be there for you. Like you are for her. Strategy: ['growth', 'optimism']"
I genuinely do not know how I will get this assignment done for friday. Why does it have to be diwali weekend,All the fun of Diwali this weekend means that I will really need to focus to complete my assignment for Friday.,['neutralizing'],I genuinely do not know how I will get this assignment done for friday. Why does it have to be diwali weekend Strategy: ['neutralizing']
"Pros and Cons to both options, but I don't know which one out weighs the other.",I am confident that I will choose the best option though.,['self_affirmation'],"Pros and Cons to both options, but I don't know which one out weighs the other. Strategy: ['self_affirmation']"
"Can tell mum hasn't lived with me for a while, she doesn't fold my wires away properly ocd annoying",I can teach my mom to fold my wires properly. It's fun having her around.,"['neutralizing', 'optimism']","Can tell mum hasn't lived with me for a while, she doesn't fold my wires away properly ocd annoying Strategy: ['neutralizing', 'optimism']"
hmmm should i do a black and white profile selfie pic on facebook where i'm looking all serious and not smiling?,Should I do a black and white profile selfie pic on facebook where i'm looking all serious and not smiling? It will probably make me look professional.,"['impermanence', 'optimism']","hmmm should i do a black and white profile selfie pic on facebook where i'm looking all serious and not smiling? Strategy: ['impermanence', 'optimism']"
I am so effing emotional I have to sell tons of my crap just to pay my remaining bills off. I'm freaking out I tell ya. I need groceries to freaking eat.,I am so sad about having to sell tons of stuff just to pay my remaining bills off. But I need groceries to eat.,['neutralizing'],I am so effing emotional I have to sell tons of my crap just to pay my remaining bills off. I'm freaking out I tell ya. I need groceries to freaking eat. Strategy: ['neutralizing']
Going to a Sarah's in a hour and haven't even got ready someone kill me now,Am going to a Sarah's in an hour and still i havent got ready i need to do something seriously.,['optimism'],Going to a Sarah's in a hour and haven't even got ready someone kill me now Strategy: ['optimism']
Hayyyyyy.. I need motivation and inspiration ow positivity that's what i badly need right now,Positivity and inspiration really help me get motivated when I need to get things donw.,['self_affirmation'],Hayyyyyy.. I need motivation and inspiration ow positivity that's what i badly need right now Strategy: ['self_affirmation']
I hate packing up my things. I just put too much things in one case.  minneapolisbound,Time to pack for an exciting new adventure.,"['neutralizing', 'optimism']","I hate packing up my things. I just put too much things in one case.  minneapolisbound Strategy: ['neutralizing', 'optimism']"
our flights bkd for July 23 to Lanz and on tracking pport due for issue 22nd-is there a way of having earlier? mum,"Can I change my flights, so they are a bit earlier? Can we do that mum?","['neutralizing', 'optimism']","our flights bkd for July 23 to Lanz and on tracking pport due for issue 22nd-is there a way of having earlier? mum Strategy: ['neutralizing', 'optimism']"
"I think if i were to clear my mind outside constantly, i would be less",I think if i were to clear my mind outside constantly to carry on,['optimism'],"I think if i were to clear my mind outside constantly, i would be less Strategy: ['optimism']"
My nails are usually long I never bit them but now they look terrible I ripped them all off,"My nails are usually long. I never bit them, but now I ripped them all off. But not big deal, they will grow soon.","['impermanence', 'neutralizing']","My nails are usually long I never bit them but now they look terrible I ripped them all off Strategy: ['impermanence', 'neutralizing']"
"Headphones on blast, just gonna go for a long ride on the four wheeler. Got a lot on my mind!",I love riding on my four wheeler and listening to music to relax.,['optimism'],"Headphones on blast, just gonna go for a long ride on the four wheeler. Got a lot on my mind! Strategy: ['optimism']"
I wish I had my car so I could just get in the car and go for a cruise. And jam. Get some thoughts out.,Longing to go on a car ride,['neutralizing'],I wish I had my car so I could just get in the car and go for a cruise. And jam. Get some thoughts out. Strategy: ['neutralizing']
"bad luck comes in threes, 4th lot of bad luck, why does it have to come again?","I've been having a lot of bad luck lately, but I know this is only temporary.",['impermanence'],"bad luck comes in threes, 4th lot of bad luck, why does it have to come again? Strategy: ['impermanence']"
When the internet doesnt work at school and you have a 5 page report due monday with only 2 pages done,"The internet doesnt work at school, and I have a 5 page report due monday with only 2 pages done. But I'll find a way to finish my work and everything will be fine.",['optimism'],When the internet doesnt work at school and you have a 5 page report due monday with only 2 pages done Strategy: ['optimism']
"Trying to complete my Marketing report for Degree and holding down a full time job, is no easy task frustrated","Having a full time job while taking classes is a lot of work, but it will definitely pay off once I finish my degree.","['impermanence', 'optimism']","Trying to complete my Marketing report for Degree and holding down a full time job, is no easy task frustrated Strategy: ['impermanence', 'optimism']"
It feels like someone's tightening a necktie way too tight against the front of my throat. Worried immensely.,I'm going to learn to take all of my energy and use it to calm myself down instead of worrying.,['growth'],It feels like someone's tightening a necktie way too tight against the front of my throat. Worried immensely. Strategy: ['growth']
Thanks for misinforming me and sending me unnecessarily to the nightmare that was Oxford Street.,Oxford street was awful but at least I know not to go back again,"['growth', 'neutralizing', 'optimism']","Thanks for misinforming me and sending me unnecessarily to the nightmare that was Oxford Street. Strategy: ['growth', 'neutralizing', 'optimism']"
Ugh! I've been thinkin a lot of things lately. Oh puhleeeaassee! Cut me some slack. I seriously need a break from everything!,Ugh! I've been thinkin a lot of things lately. I seriously hope to get a break from everything!,['neutralizing'],Ugh! I've been thinkin a lot of things lately. Oh puhleeeaassee! Cut me some slack. I seriously need a break from everything! Strategy: ['neutralizing']
You know when you have a lot to do in a week and dont know where to start from? Well this week is that week.,"I have this week when you have a lot to do but don't know where to start, but I hope I can do it!","['impermanence', 'optimism']","You know when you have a lot to do in a week and dont know where to start from? Well this week is that week. Strategy: ['impermanence', 'optimism']"
My head feels like it's going to explode and my heart feels like it's in a million little pieces.,"My head is aching, and I am a bit depressed, but I hope to pull through it.","['neutralizing', 'optimism']","My head feels like it's going to explode and my heart feels like it's in a million little pieces. Strategy: ['neutralizing', 'optimism']"
This next month will probably be the most stressful month of my life. So there's that.,"Next month will be stressful, but then I'll be home free","['impermanence', 'optimism']","This next month will probably be the most stressful month of my life. So there's that. Strategy: ['impermanence', 'optimism']"
The fact soccer has been my stress reliever for the past 5 years and now I can't even do that.,"Soccer was my stress reliever for the past 5 years, and now I can't do that. But I'm sure I'll find another great hobbie.",['optimism'],The fact soccer has been my stress reliever for the past 5 years and now I can't even do that. Strategy: ['optimism']
"the last thing I wanna be and do is waste, apparently, im a few steps away fr the dump trucks disappointed depressed bombarded",The last thing I want to be and do is waste of time,['self_affirmation'],"the last thing I wanna be and do is waste, apparently, im a few steps away fr the dump trucks disappointed depressed bombarded Strategy: ['self_affirmation']"
I would wake up the morning of my two finals and feel like complete crap. = sick,"I would take pills if I got sick so, I could get better and be able to do my finals peacefully",['neutralizing'],I would wake up the morning of my two finals and feel like complete crap. = sick Strategy: ['neutralizing']
Need to be out of this drought so I don't have to feel guilty taking hot salt baths. necessary,I'm so lucky I am still able to have hot salt baths. I know this drought will end soon.,"['neutralizing', 'optimism', 'thankfulness']","Need to be out of this drought so I don't have to feel guilty taking hot salt baths. necessary Strategy: ['neutralizing', 'optimism', 'thankfulness']"
I cannot wait until 11 am ill finish my last hour in school and some of this stress will be gone cantwait,"At 11 am i'll finish my last hour in school, and some of this stress will be gone. I'm so glad I'll be free, and I can't wait to that!",['thankfulness'],I cannot wait until 11 am ill finish my last hour in school and some of this stress will be gone cantwait Strategy: ['thankfulness']
Can I just go ahead and redo everything I've done the past few months? thatdbegreat,"Even though at times I wish I could redo certain things, I like to live by having no regrets.",['optimism'],Can I just go ahead and redo everything I've done the past few months? thatdbegreat Strategy: ['optimism']
not going to school because these kids are threatening to shoot it the fuck up but idk what's worse getting shot or missing school,I'm not going to school because of a shooter warning but might get in trouble for missing school. Wish they'd just tell us to stay home.,['neutralizing'],not going to school because these kids are threatening to shoot it the fuck up but idk what's worse getting shot or missing school Strategy: ['neutralizing']
the struggle in finding a winter ball dress is worse than finding something to wear for homecoming,"It's really hard to find good dresses for a winter ball, I want to look the best I can!","['neutralizing', 'optimism']","the struggle in finding a winter ball dress is worse than finding something to wear for homecoming Strategy: ['neutralizing', 'optimism']"
4 tests in the next 3 days. I didn't realize it was exam week already,4 tests in the next 3 days. I didn't realize it was exam week already. Hope I perform well.,['optimism'],4 tests in the next 3 days. I didn't realize it was exam week already Strategy: ['optimism']
Exams getting onto me :/ and also Depressed. Wish I knew why I was down this much. :/,Exams are hard but I'm sure that everyone is having a tough time right now. I'm sure I'll start to cheer up after they're over.,"['neutralizing', 'optimism']","Exams getting onto me :/ and also Depressed. Wish I knew why I was down this much. :/ Strategy: ['neutralizing', 'optimism']"
Bad day ready to hurt some people but ready to go on a mini road trip with,I am really looking forward to a mini road trip after what started as a rough day.,['thankfulness'],Bad day ready to hurt some people but ready to go on a mini road trip with Strategy: ['thankfulness']
"Church,Math homework, Paper due tomorrow, and Bible quizzing..ya you could say my night was a little busy!",Upcoming days are busy I have to be prepare for it.,['growth'],"Church,Math homework, Paper due tomorrow, and Bible quizzing..ya you could say my night was a little busy! Strategy: ['growth']"
I worked for three years and to this day when I wear red& khakis I panic and think that Im late for work,It is so funny that I still panic when I wear red khakis.,['neutralizing'],I worked for three years and to this day when I wear red& khakis I panic and think that Im late for work Strategy: ['neutralizing']
Today 2 people just didnt show up to their shift and another girl called in sick. I need a drink,Others could simply be a little more responsible with their work shifts to care for more sick children.,['neutralizing'],Today 2 people just didnt show up to their shift and another girl called in sick. I need a drink Strategy: ['neutralizing']
"Stress is the killer of dreams. No really, I'd love to sleep and dream a little, but im way to stressed.",I'm stressed out now but soon it will all be over and I can relax.,['optimism'],"Stress is the killer of dreams. No really, I'd love to sleep and dream a little, but im way to stressed. Strategy: ['optimism']"
Life is only as complicated as you make it. Let it steer you or you get in the drivers seat incontrol. Only you decide.,"This is your life, you only get one, so live it to the fullest!","['optimism', 'self_affirmation']","Life is only as complicated as you make it. Let it steer you or you get in the drivers seat incontrol. Only you decide. Strategy: ['optimism', 'self_affirmation']"
"Why does everything have to go wrong, life sucks when i can never do anything right, i just mess everything up 24/7","Life may suck right now, but I know this pain is just temporary, and life will be better soon.",['impermanence'],"Why does everything have to go wrong, life sucks when i can never do anything right, i just mess everything up 24/7 Strategy: ['impermanence']"
huge math final this morning :/ This is the test that makes or breaks my grade. :S,"Today is the big day, I hope I do well on the math test.",['optimism'],huge math final this morning :/ This is the test that makes or breaks my grade. :S Strategy: ['optimism']
